Listing ID,Price,Address,Beds,Baths,SqFt,Link,Image URL,Latitude,Longitude,Date
5314590,"$1,695,000","3275 Dos Palos Dr, Los Angeles, CA 90068",2 beds,2 baths,"1,536",https://www.redfin.com/CA/Los-Angeles/3275-Dos-Palos-Dr-90068/home/5314590,https://ssl.cdn-redfin.com/photo/40/islphoto/825/genIslnoResize.25575825_0.jpg,34.1281426,-118.349368,2025-08-20
5313399,"$2,495,000","7316 Caverna Dr, Los Angeles, CA 90068",2 beds,2 baths,"1,582",https://www.redfin.com/CA/Los-Angeles/7316-Caverna-Dr-90068/home/5313399,https://ssl.cdn-redfin.com/photo/40/islphoto/197/genIslnoResize.25567197_0.jpg,34.1214121,-118.3525064,2025-08-20
5314078,"$1,859,000","3158 Oakshire Dr, Los Angeles, CA 90068",3 beds,2 baths,"1,757",https://www.redfin.com/CA/Los-Angeles/3158-Oakshire-Dr-90068/home/5314078,https://ssl.cdn-redfin.com/photo/45/islphoto/498/genIslnoResize.SR25170498_1.jpg,34.1276557,-118.3527466,2025-08-20
7128420,"$2,775,000","6312 Tahoe Dr, Los Angeles, CA 90068",4 beds,3 baths,"2,688",https://www.redfin.com/CA/Los-Angeles/6312-Tahoe-Dr-90068/home/7128420,https://ssl.cdn-redfin.com/photo/45/islphoto/135/genIslnoResize.NP25163135_3.jpg,34.1278078,-118.3279568,2025-08-20
7127592,"$3,199,900","2276 La Granada Dr, Los Angeles, CA 90068",4 beds,3 baths,"2,415",https://www.redfin.com/CA/Los-Angeles/2276-La-Granada-Dr-90068/home/7127592,https://ssl.cdn-redfin.com/photo/40/islphoto/967/genIslnoResize.25561967_6.jpg,34.1119609,-118.331321,2025-08-20
7130776,"$1,095,000","6222 Glen Airy St, Los Angeles, CA 90068",2 beds,1 bath,"1,030",https://www.redfin.com/CA/Los-Angeles/6222-Glen-Airy-St-90068/home/7130776,https://ssl.cdn-redfin.com/photo/45/islphoto/530/genIslnoResize.SR25164530_0.jpg,34.1130123,-118.323282,2025-08-20
7130091,"$1,495,000","6180 Rockcliff Dr, Los Angeles, CA 90068",2 beds,2 baths,"1,477",https://www.redfin.com/CA/Los-Angeles/6180-Rockcliff-Dr-90068/home/7130091,https://ssl.cdn-redfin.com/photo/40/islphoto/117/genIslnoResize.25527117_0.jpg,34.1279023,-118.3206272,2025-08-20
7115047,"$1,099,000","6873 Yeager Pl, Los Angeles, CA 90068",2 beds,1 bath,936,https://www.redfin.com/CA/Los-Angeles/6873-Yeager-Pl-90068/home/7115047,https://ssl.cdn-redfin.com/photo/40/islphoto/501/genIslnoResize.25563501_0.jpg,34.1094728,-118.3394059,2025-08-20
8145766,"$1,899,999","2729 Hollyview Ct, Los Angeles, CA 90068",4 beds,3.5 baths,"3,026",https://www.redfin.com/CA/Los-Angeles/2729-Hollyview-Ct-90068/home/8145766,https://ssl.cdn-redfin.com/photo/45/islphoto/889/genIslnoResize.SR25166889_0.jpg,34.119818,-118.342599,2025-08-20
7128084,"$459,000","3480 Barham Blvd #226, Los Angeles, CA 90068",1 bed,1 bath,812,https://www.redfin.com/CA/Los-Angeles/3480-Barham-Blvd-90068/unit-226/home/7128084,https://ssl.cdn-redfin.com/photo/40/islphoto/451/genIslnoResize.25577451_0.jpg,34.135386,-118.3418345,2025-08-20
79040846,"$1,295,000","6760 W Gill Way, Los Angeles, CA 90068",3 beds,4 baths,"1,859",https://www.redfin.com/CA/Los-Angeles/6760-Gill-Way-90068/home/79040846,https://ssl.cdn-redfin.com/photo/40/islphoto/687/genIslnoResize.25572687_0.jpg,34.1193703,-118.3409287,2025-08-20
7130831,"$1,500,000","2228 Vista Del Mar Pl, Los Angeles, CA 90068",2 beds,2 baths,"1,660",https://www.redfin.com/CA/Los-Angeles/2228-Vista-del-Mar-Pl-90068/home/7130831,https://ssl.cdn-redfin.com/photo/40/islphoto/337/genIslnoResize.25561337_0.jpg,34.1111217,-118.3239081,2025-08-20
5312978,"$1,998,000","2806 Sunday Trl, Los Angeles, CA 90068",3 beds,3 baths,"2,520",https://www.redfin.com/CA/Los-Angeles/2806-Sunday-Trl-90068/home/5312978,https://ssl.cdn-redfin.com/photo/40/islphoto/877/genIslnoResize.25563877_2.jpg,34.1220291,-118.3511864,2025-08-20
5312403,"$3,999,000","7404 Woodrow Wilson Dr, Los Angeles, CA 90046",5 beds,4.5 baths,"3,611",https://www.redfin.com/CA/Los-Angeles/7404-Woodrow-Wilson-Dr-90046/home/5312403,https://ssl.cdn-redfin.com/photo/45/islphoto/818/genIslnoResize.GD25173818_0.jpg,34.1237483,-118.3556249,2025-08-20
7131576,"$1,899,000","1807 N Van Ness Ave, Los Angeles, CA 90028",5 beds,3 baths,"2,388",https://www.redfin.com/CA/Los-Angeles/1807-N-Van-Ness-Ave-90028/home/7131576,https://ssl.cdn-redfin.com/photo/40/islphoto/225/genIslnoResize.25574225_0.jpg,34.1037658,-118.316137,2025-08-20
7127106,"$570,000","1942 Grace Ave #223, Los Angeles, CA 90068",2 beds,2 baths,"1,116",https://www.redfin.com/CA/Los-Angeles/1942-Grace-Ave-90068/unit-223/home/7127106,https://ssl.cdn-redfin.com/photo/45/islphoto/458/genIslnoResize.SR25169458_2.jpg,34.106595,-118.331798,2025-08-20
7130196,"$2,099,999","2740 N Beachwood Dr, Hollywood Hills East, CA 90068",4 beds,3 baths,"2,374",https://www.redfin.com/CA/Los-Angeles/2740-N-Beachwood-Dr-90068/home/7130196,https://ssl.cdn-redfin.com/photo/45/islphoto/903/genIslnoResize.SR25170903_0.jpg,34.1209166,-118.3217229,2025-08-20
7129843,"$2,185,000","3279 Ledgewood Dr, Los Angeles, CA 90068",3 beds,4 baths,"1,501",https://www.redfin.com/CA/Los-Angeles/3279-Ledgewood-Dr-90068/home/7129843,https://ssl.cdn-redfin.com/photo/40/islphoto/657/genIslnoResize.25575657_0.jpg,34.1283521,-118.3218959,2025-08-20
7114943,"$3,980,000","1960 Hillcrest Rd, Los Angeles, CA 90068",6 beds,6 baths,"6,341",https://www.redfin.com/CA/Los-Angeles/1960-Hillcrest-Rd-90068/home/7114943,https://ssl.cdn-redfin.com/photo/40/islphoto/683/genIslnoResize.25570683_0.jpg,34.1065992,-118.3397409,2025-08-20
7127614,"$1,695,000","6476 San Marco Cir, Los Angeles, CA 90068",3 beds,3.5 baths,"2,276",https://www.redfin.com/CA/Los-Angeles/6476-San-Marco-Cir-90068/home/7127614,https://ssl.cdn-redfin.com/photo/45/islphoto/667/genIslnoResize.SR25162667_0.jpg,34.1124697,-118.3318321,2025-08-20
7128548,"$1,675,000","3488 Troy Dr, Los Angeles, CA 90068",4 beds,4 baths,"3,340",https://www.redfin.com/CA/Los-Angeles/3488-Troy-Dr-90068/home/7128548,https://ssl.cdn-redfin.com/photo/40/islphoto/747/genIslnoResize.25554747_0.jpg,34.1363744,-118.3435329,2025-08-20
7114421,"$570,000","6700 Hillpark Dr #302, Los Angeles, CA 90068",2 beds,2 baths,"1,059",https://www.redfin.com/CA/Los-Angeles/6700-Hillpark-Dr-90068/unit-302/home/7114421,https://ssl.cdn-redfin.com/photo/45/islphoto/582/genIslnoResize.GD25163582_0.jpg,34.117695,-118.3388867,2025-08-20
